D:\Data\zcb\2012-12-29-Au2.b\004SMPL.d
强度 vs 时间,计数
采集日期      : 2014/12/29 21:32:28 使用批处理 2012-12-29-Au2.b
时间 [s],Au197
0.013,0.00
0.017,0.00
0.020,0.00
0.024,0.00
0.027,0.00
0.031,0.00
0.034,0.00
0.038,0.00
0.041,0.00
0.045,0.00
0.048,0.00
0.052,0.00
0.055,0.00
0.059,0.00
0.062,0.00
0.066,0.00
0.069,0.00
0.073,0.00
0.076,0.00
0.080,0.00
0.083,0.00
0.087,0.00
0.090,0.00
0.094,0.00
0.097,0.00
0.101,0.00
0.104,0.00
0.108,0.00
0.111,0.00
0.115,0.00
0.118,0.00
0.122,1.00
0.125,0.00
0.129,0.00
0.132,0.00
0.136,0.00
0.139,0.00
0.143,0.00
0.146,0.00
0.150,0.00
0.153,0.00
0.157,0.00
0.160,0.00
0.164,0.00
0.167,0.00
0.170,0.00
0.174,0.00
0.178,0.00
0.181,0.00
0.185,0.00
0.188,0.00
0.192,2.00
0.195,0.00
0.199,0.00
0.202,0.00
0.206,0.00
0.209,0.00
0.213,0.00
0.217,0.00
0.220,0.00
0.224,0.00
0.227,0.00
0.231,0.00
0.234,0.00
0.238,0.00
0.241,0.00
0.245,0.00
0.248,0.00
0.252,0.00
0.255,0.00
0.259,0.00
0.262,0.00
0.266,0.00
0.269,0.00
0.273,0.00
0.276,0.00
0.280,0.00
0.283,0.00
0.287,0.00
0.290,0.00
0.294,0.00
0.297,0.00
0.301,0.00
0.304,0.00
0.308,0.00
0.311,0.00
0.315,0.00
0.318,0.00
0.322,0.00
0.325,2.00
0.329,0.00
0.332,0.00
0.336,0.00
0.339,0.00
0.343,0.00
0.346,0.00
0.350,0.00
0.353,0.00
0.357,0.00
0.360,0.00
0.364,0.00
0.367,0.00
0.371,0.00
0.374,0.00
0.378,0.00
0.381,0.00
0.385,0.00
0.388,0.00
0.392,0.00
0.395,0.00
0.399,0.00
0.402,0.00
0.406,0.00
0.409,0.00
0.413,0.00
0.416,0.00
0.420,0.00
0.423,0.00
0.426,0.00
0.430,0.00
0.434,0.00
0.437,0.00
0.441,0.00
0.444,0.00
0.448,0.00
0.451,0.00
0.455,0.00
0.458,0.00
0.462,0.00
0.465,0.00
0.469,0.00
0.472,0.00
0.476,0.00
0.479,0.00
0.483,0.00
0.486,0.00
0.490,0.00
0.493,0.00
0.497,0.00
0.500,0.00
0.504,0.00
0.507,0.00
0.511,0.00
0.514,0.00
0.518,0.00
0.521,0.00
0.525,0.00
0.528,0.00
0.532,0.00
0.535,0.00
0.539,0.00
0.542,0.00
0.546,0.00
0.549,0.00
0.553,0.00
0.556,0.00
0.560,0.00
0.563,0.00
0.567,0.00
0.570,0.00
0.574,0.00
0.577,0.00
0.581,0.00
0.584,0.00
0.588,0.00
0.591,0.00
0.595,0.00
0.598,0.00
0.602,0.00
0.605,0.00
0.609,0.00
0.612,1.00
0.616,1.00
0.618,0.00
0.623,0.00
0.626,0.00
0.630,0.00
0.633,0.00
0.637,0.00
0.640,0.00
0.644,0.00
0.647,0.00
0.651,0.00
0.654,0.00
0.658,0.00
0.661,0.00
0.665,0.00
0.668,0.00
0.672,0.00
0.675,0.00
0.679,0.00
0.682,0.00
0.686,0.00
0.689,1.00
0.693,1.00
0.696,0.00
0.700,0.00
0.703,0.00
0.707,0.00
0.710,0.00
0.714,0.00
0.717,0.00
0.721,0.00
0.724,0.00
0.728,0.00
0.731,0.00
0.735,0.00
0.738,0.00
0.742,0.00
0.745,0.00
0.749,0.00
0.752,0.00
0.756,0.00
0.759,0.00
0.763,0.00
0.766,0.00
0.770,0.00
0.773,0.00
0.777,0.00
0.780,0.00
0.784,0.00
0.787,0.00
0.791,0.00
0.795,0.00
0.798,0.00
0.802,0.00
0.805,0.00
0.809,0.00
0.812,0.00
0.816,0.00
0.819,0.00
0.823,0.00
0.826,0.00
0.830,0.00
0.833,0.00
0.837,0.00
0.840,0.00
0.844,0.00
0.847,0.00
0.851,0.00
0.854,0.00
0.858,0.00
0.861,0.00
0.865,0.00
0.868,0.00
0.872,0.00
0.874,0.00
0.879,0.00
0.882,1.00
0.886,0.00
0.889,0.00
0.893,1.00
0.896,0.00
0.900,0.00
0.903,0.00
0.907,0.00
0.910,0.00
0.914,0.00
0.917,0.00
0.921,0.00
0.924,0.00
0.928,0.00
0.931,0.00
0.935,0.00
0.938,0.00
0.942,0.00
0.945,0.00
0.949,0.00
0.952,0.00
0.956,0.00
0.959,0.00
0.963,0.00
0.966,0.00
0.970,0.00
0.973,0.00
0.977,0.00
0.980,0.00
0.984,0.00
0.987,0.00
0.991,0.00
0.994,0.00
0.998,0.00
1.001,0.00
1.005,0.00
1.008,0.00
1.012,1.00
1.015,0.00
1.019,0.00
1.022,0.00
1.026,0.00
1.029,1.00
1.033,0.00
1.036,0.00
1.040,0.00
1.043,0.00
1.047,0.00
1.050,0.00
1.054,0.00
1.057,0.00
1.061,0.00
1.064,0.00
1.068,0.00
1.071,0.00
1.075,0.00
1.078,0.00
1.082,0.00
1.085,0.00
1.089,0.00
1.092,0.00
1.096,0.00
1.099,0.00
1.103,0.00
1.106,0.00
1.110,0.00
1.113,0.00
1.117,0.00
1.120,0.00
1.124,0.00
1.127,0.00
1.130,0.00
1.134,0.00
1.138,0.00
1.141,0.00
1.145,0.00
1.148,0.00
1.152,0.00
1.155,0.00
1.159,0.00
1.162,0.00
1.166,0.00
1.169,0.00
1.173,0.00
1.176,0.00
1.180,0.00
1.183,0.00
1.187,0.00
1.190,0.00
1.194,0.00
1.197,0.00
1.201,0.00
1.204,0.00
1.208,0.00
1.211,0.00
1.215,0.00
1.218,0.00
1.222,0.00
1.225,0.00
1.229,149.25
1.232,0.00
1.236,0.00
1.239,0.00
1.243,0.00
1.246,0.00
1.250,0.00
1.253,0.00
1.257,0.00
1.260,0.00
1.264,0.00
1.267,0.00
1.271,0.00
1.274,0.00
1.278,0.00
